name,kills,date
GGXDArusha,50,2025-02-12
Kangcheon24,54,2025-02-12
Indonesia_ofMalaysia,43,2025-02-12
jgwen19,56,2025-02-12
mrflipsflapz,49,2025-02-12
jamesplayztv1,1,2025-02-12
OblivionSectis,97,2025-02-12
Kazuyuki_Owen,49,2025-02-12
chanmeme1,35,2025-02-12
kite_167,46,2025-02-12
ConesOdebrecht,75,2025-02-12
masterjanjan19,35,2025-02-12
pancake_w1,34,2025-02-12
jayneeddollar,55,2025-02-12
pensmen,52,2025-02-12
SeaV1per1224,62,2025-02-12
FrailBailen,26,2025-02-12
KusakabeMisaoMyWaifu,48,2025-02-12
Xernicus,52,2025-02-12
anathaliakdc,32,2025-02-12
jiajun129,34,2025-02-12
Luqman_indo,30,2025-02-12
Gariksz,59,2025-02-12
Oscarchoyzy24,61,2025-02-12
commander_cookie1234,38,2025-02-12
cn191981,45,2025-02-12
nickthegodrider1289,45,2025-02-12
intxerunit,41,2025-02-12
kylemanike,45,2025-02-12
ideacentre,52,2025-02-12
spikey_001,49,2025-02-12
Sunfull1,26,2025-02-12
SupremeDom5162,20,2025-02-12
CIAUSA2,21,2025-02-12
dyj2233,9,2025-02-12


Dawnftb,44,2025-02-11
gst44444,15,2025-02-11
zZRabbitsZz,30,2025-02-11
mrflipsflapz,59,2025-02-11
Kazuyuki_Owen,72,2025-02-11
jgwen19,76,2025-02-11
SeaV1per1224,66,2025-02-11
chanmeme1,61,2025-02-11
commander_cookie1234,42,2025-02-11
kite_167,16,2025-02-11
spikey_001,49,2025-02-11
Xernicus,58,2025-02-11
kf21rotc2,8,2025-02-11
Oscarchoyzy24,18,2025-02-11
pensmen,32,2025-02-11
jayneeddollar,63,2025-02-11
anathaliakdc,43,2025-02-11
pancake_w1,32,2025-02-11
Alekspheus,39,2025-02-11
GGXDArusha,47,2025-02-11
Kangcheon24,76,2025-02-11
FrailBailen,70,2025-02-11
jamesplayztv1,57,2025-02-11
KisarakiTH,46,2025-02-11
kylemanike,67,2025-02-11
nickthegodrider1289,60,2025-02-11

jgwen19,70,2025-02-09
Dawnftb,34,2025-02-09
Hparso1524,36,2025-02-09
MarionnJames2307,61,2025-02-09
chickenkampong,47,2025-02-09
spikey_001,51,2025-02-09
kurtdylan1111,15,2025-02-09
nickthegodrider1289,37,2025-02-09
jamesplayztv1,50,2025-02-09
FrailBailen,25,2025-02-09
pancake_w1,32,2025-02-09
DcypL_Sky,81,2025-02-09
burnfield1k22,53,2025-02-09
GGXDArusha,39,2025-02-09
jellyy112345,49,2025-02-09
buddyboil1,63,2025-02-09
tsogoo125,66,2025-02-09
SeaV1per1224,58,2025-02-09
anathaliakdc,42,2025-02-09
pensmen,49,2025-02-09
gyftfdko,53,2025-02-09
Indonesia_ofMalaysia,47,2025-02-09
chanmeme1,51,2025-02-09
cn191981,47,2025-02-09
Oscarchoyzy24,83,2025-02-09
Luqman_indo,7,2025-02-09
Liklyboos221,31,2025-02-09
midnight_karsonwolf,5,2025-02-09
ideacentre,38,2025-02-09

SomeRandomBucketName,68,2025-02-08
diwdwoa,58,2025-02-08
Luqman_indo,31,2025-02-08
chickenkampong,49,2025-02-08
tsogoo125,84,2025-02-08
Mitsubira_Aratoshi,68,2025-02-08
jellyy112345,36,2025-02-08
jgwen19,74,2025-02-08
pensmen,50,2025-02-08
Hparso1524,49,2025-02-08
MarionnJames2307,49,2025-02-08
GGXDArusha,41,2025-02-08
jamesplayztv1,55,2025-02-08
Dawnftb,29,2025-02-08
nickthegodrider1289,16,2025-02-08
CommanderHikari,47,2025-02-08
imnotharingyou,8,2025-02-08
MarioUlici200702,61,2025-02-08
user30012345,19,2025-02-08
Oscarchoyzy24,83,2025-02-08
anathaliakdc,29,2025-02-08
gtmsgamerG,30,2025-02-08
FrailBailen,58,2025-02-08
SeaV1per1224,61,2025-02-08
bigshockwave99,58,2025-02-08
commander_cookie1234,38,2025-02-08
ConesOdebrecht,87,2025-02-08
mekeyroberto,40,2025-02-08
kite_167,42,2025-02-08
fliqpy82929,31,2025-02-08
spikey_001,38,2025-02-08
Indonesia_ofMalaysia,47,2025-02-08
SupremeDom5162,2,2025-02-08


diwdwoa,51,2025-02-07
Dawnftb,52,2025-02-07
polkomgyy44,65,2025-02-07
pensmen,71,2025-02-07
spikey_001,55,2025-02-07
Mitsubira_Aratoshi,78,2025-02-07
burnfield1k22,58,2025-02-07
mrflipsflapz,52,2025-02-07
kite_167,41,2025-02-07
bigshockwave99,67,2025-02-07
chickenkampong,29,2025-02-07
pancake_w1,46,2025-02-07
CommanderHikari,52,2025-02-07
anathaliakdc,27,2025-02-07
Luqman_indo,51,2025-02-07
jgwen19,57,2025-02-07
mgim123,64,2025-02-07
Indonesia_ofMalaysia,52,2025-02-07
SeaV1per1224,77,2025-02-07
ConesOdebrecht,75,2025-02-07
gyftfdko,35,2025-02-07
nickthegodrider1289,37,2025-02-07
OblivionSectis,95,2025-02-07
ckpoa20,38,2025-02-07
tsogoo125,88,2025-02-07
Croezg,47,2025-02-07
Kazuyuki_Owen,63,2025-02-07
Oscarchoyzy24,19,2025-02-07
commander_cookie1234,45,2025-02-07
jiajun129,38,2025-02-07
GGXDArusha,43,2025-02-07
jamesplayztv1,44,2025-02-07
chanmeme1,17,2025-02-07
fliqpy82929,26,2025-02-07


Dawnftb,52,2025-02-06
Indonesia_ofMalaysia,42,2025-02-06
kite_167,43,2025-02-06
SireHalo,19,2025-02-06
999j444,8,2025-02-06
chickenkampong,37,2025-02-06
jgwen19,49,2025-02-06
bench3,57,2025-02-06
burnfield1k22,55,2025-02-06
Kazuyuki_Owen,46,2025-02-06
Luqman_indo,44,2025-02-06
Croezg,41,2025-02-06
jamesplayztv1,37,2025-02-06
Gariksz,61,2025-02-06
spikey_001,37,2025-02-06
Oscarchoyzy24,81,2025-02-06
Scornful_X,44,2025-02-06
Mrbombinleipzig,10,2025-02-06
pancake_w1,19,2025-02-06
jiajun129,21,2025-02-06
ConesOdebrecht,62,2025-02-06
GildedMikado,24,2025-02-06
jayneeddollar,47,2025-02-06
gerardanthony22,32,2025-02-06
pancakehateruwu,43,2025-02-06
Mitsubira_Aratoshi,63,2025-02-06
gst44444,43,2025-02-06
Sumardisam,51,2025-02-06
polkomgyy44,44,2025-02-06
rg66666666,24,2025-02-06
theDogeboiiz,39,2025-02-06
camper8903,45,2025-02-06
commander_cookie1234,36,2025-02-06
officerngelo,7,2025-02-06
TheArcheryOfWisdom,38,2025-02-06
nickthegodrider1289,1,2025-02-06

Dawnftb,25,2025-02-05
polkomgyy44,64,2025-02-05
xQc0wxHasan,23,2025-02-05
chickenkampong,40,2025-02-05
spikey_001,41,2025-02-05
kite_167,35,2025-02-05
supermanakmeeee_twin,25,2025-02-05
zZRabbitsZz,27,2025-02-05
FrailBailen,52,2025-02-05
chanmeme1,44,2025-02-05
commander_cookie1234,33,2025-02-05
pancake_w1,34,2025-02-05
jgwen19,46,2025-02-05
burnfield1k22,78,2025-02-05
TAMKOLEMK23,41,2025-02-05
jamesplayztv1,50,2025-02-05
Indonesia_ofMalaysia,35,2025-02-05
Mitsubira_Aratoshi,77,2025-02-05
pensmen,54,2025-02-05
Croezg,35,2025-02-05
nickthegodrider1289,36,2025-02-05
Gariksz,63,2025-02-05
Oscarchoyzy24,87,2025-02-05
Cheeky_Grub,35,2025-02-05
DabbustBailen,52,2025-02-05
anathaliakdc,18,2025-02-05
robuihoan,27,2025-02-05
Luqman_indo,27,2025-02-05

FrailBailen,72,2025-02-04
Dawnftb,31,2025-02-04
Oscarchoyzy24,75,2025-02-04
Indonesia_ofMalaysia,60,2025-02-04
jamesplayztv1,38,2025-02-04
jgwen19,61,2025-02-04
polkomgyy44,43,2025-02-04
KisarakiTH,39,2025-02-04
Croezg,38,2025-02-04
mrflipsflapz,55,2025-02-04
pancake_w1,32,2025-02-04
chickenkampong,29,2025-02-04
takutoa02,29,2025-02-04
korvegi,58,2025-02-04
anathaliakdc,25,2025-02-04
Luqman_indo,43,2025-02-04
STrockingUrDjcxK_4Ks,55,2025-02-04
camper8903,61,2025-02-04
Kazuyuki_Owen,46,2025-02-04
officerngelo,26,2025-02-04
spikey_001,46,2025-02-04
nickthegodrider1289,50,2025-02-04
L1MEO1,58,2025-02-04
ViktorInvicta,0,2025-02-04

Dawnftb,39,2025-01-30
Kazuyuki_Owen,60,2025-01-30
chickenkampong,56,2025-01-30
rg66666666,46,2025-01-30
kylemanike,9,2025-01-30
diwdwoa,59,2025-01-30
SireHalo,51,2025-01-30
jamesplayztv1,45,2025-01-30
nickthegodrider1289,58,2025-01-30
officerngelo,14,2025-01-30
jssinsnsm,17,2025-01-30
Oscarchoyzy24,72,2025-01-30
KingPandapandapanda,18,2025-01-30
Tutel_54371,22,2025-01-30
takutoa02,18,2025-01-30
anathaliakdc,25,2025-01-30
Awesomegunner778,59,2025-01-30
CommanderHikari,43,2025-01-30
Indonesia_ofMalaysia,49,2025-01-30
burnfield1k22,65,2025-01-30
BejzMunro,15,2025-01-30
Mitzuki525,26,2025-01-30
ConesOdebrecht,0,2025-01-30
Sumardisam,56,2025-01-30
chanmeme1,41,2025-01-30
pancake_w1,24,2025-01-30
Scornful_X,42,2025-01-30
spikey_001,57,2025-01-30
theDogeboiiz,42,2025-01-30
GGXDArusha,28,2025-01-30
acid_w,103,2025-01-30
camper8903,41,2025-01-30

Kazuyuki_Owen,62,2025-01-29
takutoa02,43,2025-01-29
officerngelo,17,2025-01-29
intxerunit,47,2025-01-29
rg66666666,62,2025-01-29
tsogoo125,85,2025-01-29
burnfield1k22,73,2025-01-29
pensmen,81,2025-01-29
KisarakiTH,44,2025-01-29
Itme_NEWBIE,18,2025-01-29
camper8903,56,2025-01-29
Luqman_indo,32,2025-01-29
Sumardisam,62,2025-01-29
Dawnftb,44,2025-01-29

Dawnftb,48,2025-01-28
chickenkampong,46,2025-01-28
SZYMON090901,41,2025-01-28
kylemanike,41,2025-01-28
jamesplayztv1,42,2025-01-28
diwdwoa,55,2025-01-28
tsogoo125,24,2025-01-28
Kazuyuki_Owen,51,2025-01-28
jgwen19,43,2025-01-28
Mitsubira_Aratoshi,68,2025-01-28
snowsoldier_9775,17,2025-01-28
takutoa02,30,2025-01-28
Scornful_X,49,2025-01-28
officerngelo,14,2025-01-28
GGXDArusha,48,2025-01-28
Awesomegunner778,49,2025-01-28
fliqpy82929,27,2025-01-28
SireHalo,15,2025-01-28
elementhknight123,54,2025-01-28
Wepingbell2,34,2025-01-28
Mitzuki525,31,2025-01-28
Elementalmoron,39,2025-01-28
rg66666666,36,2025-01-28
FrailBailen,58,2025-01-28
star_dustriver,37,2025-01-28
anathaliakdc,28,2025-01-28
Luqman_indo,35,2025-01-28
Sumardisam,48,2025-01-28
TYT012017,21,2025-01-28
burnfield1k22,59,2025-01-28
ViktorInvicta,52,2025-01-28
jellyy112345,39,2025-01-28
spikey_001,42,2025-01-28
infantry154111,14,2025-01-28
camper8903,45,2025-01-28
ChickenDonkeyDog,59,2025-01-28
pensmen,26,2025-01-28
Logiclist,8,2025-01-28